"customer_id","plan","subscription_start_date","subscription_duration","subscription_end_date","subscription_fee","purchase_date","purchase_amount","total_revenue"
51663,"free",NA,0,NA,0,NA,0,0
57870,"free",NA,0,NA,0,NA,0,0
2986,"paid",2022-10-25,7,2023-05-25,48.93,2022-01-26,49.78,98.71
29925,"free",NA,0,NA,0,NA,0,0
95246,"free",NA,0,NA,0,NA,0,0
68293,"free",NA,0,NA,0,NA,0,0
62555,"free",NA,0,NA,0,NA,0,0
45404,"free",NA,0,NA,0,NA,0,0
65161,"free",NA,0,NA,0,NA,0,0
46435,"free",NA,0,NA,0,NA,0,0
9642,"paid",2022-01-14,12,2023-01-14,83.88,NA,0,83.88
59134,"free",NA,0,NA,0,NA,0,0
52132,"free",NA,0,NA,0,NA,0,0
96849,"free",NA,0,NA,0,NA,0,0
14183,"free",NA,0,NA,0,NA,0,0
15180,"free",NA,0,NA,0,NA,0,0
27168,"free",NA,0,NA,0,NA,0,0
89709,"free",NA,0,NA,0,NA,0,0
9097,"free",NA,0,NA,0,NA,0,0
30538,"free",NA,0,NA,0,NA,0,0
56219,"free",NA,0,NA,0,NA,0,0
94517,"free",NA,0,NA,0,NA,0,0
7989,"free",NA,0,NA,0,NA,0,0
13536,"free",NA,0,NA,0,NA,0,0
90077,"free",NA,0,NA,0,NA,0,0
6216,"free",NA,0,NA,0,NA,0,0
83519,"paid",2022-09-24,9,2023-06-24,62.91,NA,0,62.91
29394,"free",NA,0,NA,0,NA,0,0
53241,"paid",2022-06-03,3,2022-09-03,20.97,NA,0,20.97
28825,"free",NA,0,NA,0,NA,0,0
41,"free",NA,0,NA,0,NA,0,0
14426,"free",NA,0,NA,0,NA,0,0
72820,"free",NA,0,NA,0,NA,0,0
51656,"free",NA,0,NA,0,NA,0,0
94038,"paid",2022-04-28,8,2022-12-28,55.92,NA,0,55.92
58527,"paid",2022-08-14,8,2023-04-14,55.92,NA,0,55.92
77009,"free",NA,0,NA,0,NA,0,0
43042,"free",NA,0,NA,0,NA,0,0
77837,"free",NA,0,NA,0,NA,0,0
6134,"free",NA,0,NA,0,NA,0,0
33523,"free",NA,0,NA,0,NA,0,0
21812,"free",NA,0,NA,0,NA,0,0
39895,"free",NA,0,NA,0,NA,0,0
9640,"paid",2022-01-11,8,2022-09-11,55.92,NA,0,55.92
85278,"free",NA,0,NA,0,NA,0,0
9326,"free",NA,0,NA,0,NA,0,0
26510,"free",NA,0,NA,0,NA,0,0
20960,"free",NA,0,NA,0,NA,0,0
14403,"free",NA,0,NA,0,NA,0,0
64502,"free",NA,0,NA,0,NA,0,0
71503,"free",NA,0,NA,0,NA,0,0
45221,"free",NA,0,NA,0,NA,0,0
94335,"free",NA,0,NA,0,NA,0,0
92372,"free",NA,0,NA,0,NA,0,0
77585,"free",NA,0,NA,0,NA,0,0
80686,"free",NA,0,NA,0,NA,0,0
70563,"free",NA,0,NA,0,NA,0,0
32606,"free",NA,0,NA,0,NA,0,0
16152,"free",NA,0,NA,0,NA,0,0
25559,"paid",2022-09-08,11,2023-08-08,76.89,NA,0,76.89
14215,"free",NA,0,NA,0,NA,0,0
14287,"paid",2022-07-09,5,2022-12-09,34.95,2022-05-18,32.27,67.22
23194,"paid",2022-07-19,3,2022-10-19,20.97,NA,0,20.97
90094,"free",NA,0,NA,0,NA,0,0
34976,"free",NA,0,NA,0,NA,0,0
14491,"free",NA,0,NA,0,NA,0,0
82949,"free",NA,0,NA,0,NA,0,0
77584,"free",NA,0,NA,0,NA,0,0
40503,"free",NA,0,NA,0,NA,0,0
34724,"free",NA,0,NA,0,NA,0,0
86013,"free",NA,0,NA,0,NA,0,0
17369,"free",NA,0,NA,0,NA,0,0
31542,"free",NA,0,NA,0,NA,0,0
59106,"paid",2022-11-17,12,2023-11-17,83.88,NA,0,83.88
86605,"free",NA,0,NA,0,NA,0,0
40632,"free",NA,0,NA,0,NA,0,0
96111,"free",NA,0,NA,0,NA,0,0
43204,"paid",2022-02-15,10,2022-12-15,69.9,NA,0,69.9
37544,"free",NA,0,NA,0,NA,0,0
99289,"free",NA,0,NA,0,NA,0,0
84427,"free",NA,0,NA,0,NA,0,0
76820,"free",NA,0,NA,0,NA,0,0
82115,"free",NA,0,NA,0,NA,0,0
44196,"free",NA,0,NA,0,NA,0,0
92337,"paid",2022-06-24,12,2023-06-24,83.88,NA,0,83.88
44983,"free",NA,0,NA,0,NA,0,0
91438,"free",NA,0,NA,0,NA,0,0
36717,"free",NA,0,NA,0,NA,0,0
28078,"free",NA,0,NA,0,NA,0,0
69369,"free",NA,0,NA,0,NA,0,0
91564,"free",NA,0,NA,0,NA,0,0
43406,"free",NA,0,NA,0,NA,0,0
41488,"paid",2022-11-29,6,2023-05-29,41.94,NA,0,41.94
