"customer","date","sales","age","gender","country","operating_system"
"S1503",2023-09-01,0,20,"female","GER","Android"
"H1284",2023-09-01,227.99,46,"non-binary","US","Windows Desktop"
"P1192",2023-09-01,0,29,"female","US","Android"
"O605",2023-09-01,310.76,17,"male","US","macOS Desktop"
"Y2273",2023-09-01,0,63,"female","UK","iOS"
"Q2259",2023-09-01,278.89,25,"male","MEX","Android"
"B2803",2023-09-01,0,22,"female","MEX","Windows Desktop"
"F2444",2023-09-01,0,51,"male","CAN","Windows Desktop"
"N2970",2023-09-01,0,64,"female","US","macOS Desktop"
"Y1099",2023-09-01,249.97,59,"male","US","Windows Desktop"
"G2723",2023-09-01,0,35,"male","CAN","Android"
"F2608",2023-09-01,28.12,40,"female","US","iOS"
"K2330",2023-09-01,0,49,"female","UK","Android"
"Z954",2023-09-01,98.28,64,"male","GER","Android"
"Q2234",2023-09-01,0,42,"male","CAN","iOS"
"T312",2023-09-01,0,25,"male","MEX","iOS"
"R907",2023-09-01,0,31,"male","AUS","Android"
"E700",2023-09-01,0,62,"male","CAN","Android"
"H2950",2023-09-01,0,49,"male","AUS","Android"
"Q528",2023-09-01,0,29,"female","GER","Windows Desktop"
"E902",2023-09-01,0,32,"male","MEX","iOS"
"Z1357",2023-09-01,0,56,"female","CAN","Android"
"K2749",2023-09-01,112.53,34,"female","CAN","macOS Desktop"
"G396",2023-09-01,0,40,"male","GER","macOS Desktop"
"U2268",2023-09-01,0,39,"female","US","Windows Desktop"
"P2057",2023-09-01,0,31,"male","UK","iOS"
"Y1623",2023-09-01,0,20,"male","CAN","iOS"
"P2426",2023-09-01,0,52,"male","UK","Android"
"U2573",2023-09-01,489.94,22,"non-binary","MEX","Windows Desktop"
"H1979",2023-09-01,0,36,"male","CAN","Windows Desktop"
"U1537",2023-09-01,0,50,"male","UK","iOS"
"X972",2023-09-01,0,34,"male","MEX","Android"
"I689",2023-09-01,0,17,"male","US","Android"
"U380",2023-09-01,0,56,"female","UK","Linux Desktop"
"J1898",2023-09-01,0,25,"male","CAN","Android"
"M2210",2023-09-01,0,56,"male","MEX","Windows Desktop"
"Y265",2023-09-01,0,28,"male","CAN","Android"
"O537",2023-09-01,0,71,"female","AUS","Windows Desktop"
"O2460",2023-09-01,0,41,"male","GER","Android"
"A2879",2023-09-01,0,36,"female","MEX","Android"
"H361",2023-09-01,0,40,"female","GER","iOS"
"D533",2023-09-01,0,41,"female","GER","Windows Desktop"
"B1590",2023-09-01,0,17,"female","CAN","iOS"
"A783",2023-09-01,131.24,29,"transgender","GER","macOS Desktop"
"P2506",2023-09-01,0,18,"male","US","Android"
"D2844",2023-09-01,0,55,"female","AUS","Windows Desktop"
"S2005",2023-09-01,0,48,"female","UK","Android"
"Y887",2023-09-01,0,35,"male","MEX","Windows Desktop"
"W1615",2023-09-01,0,48,"female","UK","Windows Desktop"
"O2353",2023-09-01,0,44,"male","MEX","Android"
"V783",2023-09-01,0,43,"female","GER","iOS"
"F2427",2023-09-01,0,51,"male","GER","Android"
"H1346",2023-09-01,0,37,"male","UK","Windows Desktop"
"Q1061",2023-09-01,0,60,"female","UK","Android"
"N2258",2023-09-01,0,18,"female","GER","Windows Desktop"
"W1176",2023-09-01,0,6,"male","AUS","Windows Desktop"
"S1779",2023-09-01,0,49,"female","MEX","Android"
"W489",2023-09-01,0,49,"female","UK","Android"
"U2480",2023-09-01,0,38,"female","UK","Windows Desktop"
"R2091",2023-09-01,0,51,"female","AUS","Windows Desktop"
"A1632",2023-09-01,0,49,"female","UK","Android"
"N2141",2023-09-01,0,28,"female","UK","Windows Desktop"
"E354",2023-09-01,0,7,"male","CAN","Android"
"J662",2023-09-01,0,42,"female","CAN","Android"
"K1698",2023-09-01,0,51,"female","US","Windows Desktop"
"F2102",2023-09-01,0,52,"male","MEX","iOS"
"G2345",2023-09-01,237.18,50,"male","MEX","Windows Desktop"
"Y1104",2023-09-01,0,19,"female","US","Android"
"R1049",2023-09-01,0,37,"female","MEX","Windows Desktop"
"Q669",2023-09-01,0,35,"male","MEX","macOS Desktop"
"Z2173",2023-09-01,0,65,"male","CAN","Android"
"N2219",2023-09-01,0,36,"male","MEX","Android"
"F1873",2023-09-01,0,18,"female","US","Windows Desktop"
"E1700",2023-09-01,0,39,"male","CAN","iOS"
"D1699",2023-09-01,0,15,"male","MEX","Windows Desktop"
"D423",2023-09-01,0,29,"female","MEX","Windows Desktop"
"I1580",2023-09-01,71.05,28,"female","UK","macOS Desktop"
"A1667",2023-09-01,0,28,"non-binary","GER","Windows Desktop"
"W533",2023-09-01,0,21,"non-binary","US","Windows Desktop"
"E996",2023-09-01,0,34,"female","GER","iOS"
"Y1238",2023-09-01,0,47,"male","AUS","Android"
"E1147",2023-09-01,0,28,"male","GER","Android"
"C117",2023-09-01,0,63,"female","UK","Windows Desktop"
"F2103",2023-09-01,0,46,"female","MEX","Windows Desktop"
"Z1251",2023-09-01,0,24,"male","CAN","Windows Desktop"
"F163",2023-09-01,0,23,"female","UK","Android"
"J2081",2023-09-01,0,51,"female","MEX","iOS"
"F809",2023-09-01,0,34,"female","MEX","Windows Desktop"
"Z1415",2023-09-01,0,65,"male","CAN","Windows Desktop"
"T1075",2023-09-01,0,57,"female","GER","iOS"
"Z990",2023-09-01,0,60,"male","UK","Windows Desktop"
"R1174",2023-09-01,0,45,"female","UK","Android"
"G1657",2023-09-01,0,57,"female","AUS","Android"
"W1364",2023-09-01,0,45,"non-binary","US","iOS"
"F503",2023-09-01,0,25,"female","AUS","Windows Desktop"
"Y2677",2023-09-01,0,52,"female","UK","Android"
"M1012",2023-09-01,0,36,"male","AUS","macOS Desktop"
"C1790",2023-09-01,0,56,"female","UK","Android"
"A814",2023-09-01,0,50,"male","GER","iOS"
"J1687",2023-09-01,0,39,"male","MEX","iOS"
"W2799",2023-09-01,0,38,"male","CAN","Android"
"X1128",2023-09-01,0,10,"female","GER","iOS"
"W426",2023-09-01,0,42,"male","AUS","Android"
"A2657",2023-09-01,0,52,"female","GER","Android"
