"employee_status","job_satisfaction","salary_level","remote_work_option"
"Left",3,"Medium","No"
"Left",1,"Low","No"
"Stayed",2,"Medium","No"
"Left",1,"Medium","Yes"
"Left",3,"Medium","No"
"Stayed",5,"Medium","No"
"Left",2,"Low","No"
"Stayed",1,"Low","Yes"
"Left",1,"Low","Yes"
"Left",2,"Medium","No"
"Stayed",1,"Low","No"
"Left",4,"Medium","Yes"
"Left",1,"Medium","Yes"
"Stayed",3,"Medium","Yes"
"Stayed",1,"Low","Yes"
"Left",4,"Low","No"
"Left",3,"Medium","No"
"Stayed",3,"Low","Yes"
"Stayed",5,"Medium","No"
"Stayed",5,"Low","Yes"
"Left",3,"Medium","No"
"Stayed",5,"High","Yes"
"Left",2,"High","No"
"Left",4,"Medium","No"
"Stayed",2,"Medium","Yes"
"Stayed",4,"Medium","Yes"
"Stayed",1,"High","Yes"
"Left",1,"Low","No"
"Stayed",4,"High","No"
"Left",1,"High","Yes"
"Left",3,"Medium","Yes"
"Left",3,"Medium","No"
"Stayed",2,"Low","No"
"Left",2,"Medium","Yes"
"Stayed",1,"Medium","Yes"
"Left",4,"Medium","Yes"
"Stayed",5,"Medium","Yes"
"Stayed",5,"Medium","Yes"
"Left",5,"Low","No"
"Left",4,"Low","No"
"Stayed",3,"Low","Yes"
"Stayed",1,"Medium","Yes"
"Stayed",2,"Medium","Yes"
"Left",4,"High","Yes"
"Stayed",2,"High","No"
"Left",3,"Low","Yes"
"Left",1,"Low","No"
"Left",3,"Low","Yes"
"Left",2,"High","No"
"Left",1,"High","Yes"
"Stayed",4,"Medium","Yes"
"Stayed",1,"Low","No"
"Stayed",5,"Medium","Yes"
"Left",3,"High","No"
"Stayed",2,"High","No"
"Left",5,"Low","Yes"
"Left",1,"Low","Yes"
"Stayed",3,"Medium","Yes"
"Stayed",5,"Medium","Yes"
"Stayed",2,"Low","No"
"Left",2,"Low","Yes"
"Left",2,"Low","Yes"
"Left",3,"Medium","Yes"
"Stayed",5,"Low","No"
"Left",1,"Low","Yes"
"Stayed",4,"Medium","No"
"Stayed",2,"High","Yes"
"Left",4,"Medium","Yes"
"Left",3,"Medium","Yes"
"Stayed",4,"Low","Yes"
"Stayed",1,"Low","Yes"
"Stayed",4,"Medium","Yes"
"Stayed",3,"Low","No"
"Stayed",3,"Medium","No"
"Stayed",5,"Medium","Yes"
"Left",3,"Low","No"
"Stayed",2,"Medium","Yes"
"Stayed",5,"Medium","No"
"Stayed",2,"Medium","Yes"
"Stayed",3,"Low","Yes"
"Stayed",5,"Medium","Yes"
"Stayed",5,"Low","Yes"
"Stayed",2,"High","Yes"
"Left",5,"Medium","Yes"
"Left",3,"Medium","No"
"Stayed",5,"High","Yes"
"Stayed",3,"Medium","Yes"
"Stayed",2,"Medium","No"
"Stayed",3,"Medium","Yes"
"Stayed",2,"High","Yes"
"Left",4,"Medium","Yes"
"Stayed",5,"Medium","No"
"Stayed",5,"Low","Yes"
"Left",3,"Medium","Yes"
"Left",2,"Medium","Yes"
"Left",3,"Medium","Yes"
"Stayed",2,"Medium","No"
"Stayed",1,"Medium","No"
"Left",5,"Medium","No"
"Left",2,"Medium","No"
"Left",2,"High","No"
"Stayed",1,"Medium","No"
"Stayed",4,"High","Yes"
"Stayed",4,"Medium","No"
"Left",4,"Medium","No"
"Left",5,"Low","Yes"
"Left",2,"Medium","Yes"
"Left",5,"Medium","Yes"
"Stayed",1,"Low","No"
"Stayed",3,"Medium","No"
"Left",5,"Medium","Yes"
"Left",2,"Medium","Yes"
"Left",5,"High","Yes"
"Stayed",3,"Medium","No"
"Stayed",4,"Low","No"
"Stayed",5,"Medium","No"
"Stayed",3,"Low","No"
"Stayed",5,"Medium","Yes"
"Left",5,"Medium","No"
"Left",1,"Low","No"
"Stayed",5,"Medium","No"
"Stayed",5,"Low","Yes"
"Stayed",2,"Medium","Yes"
"Stayed",5,"Low","Yes"
"Left",1,"Medium","Yes"
"Stayed",2,"Medium","No"
"Left",3,"Medium","Yes"
"Left",4,"Medium","No"
"Stayed",2,"Low","Yes"
"Left",3,"Medium","No"
"Left",3,"Medium","Yes"
"Left",1,"Medium","Yes"
"Left",4,"Medium","No"
"Left",4,"Medium","Yes"
"Left",3,"Medium","No"
"Stayed",2,"Medium","Yes"
"Left",4,"Medium","No"
"Stayed",3,"Low","Yes"
"Left",5,"Medium","Yes"
"Left",4,"Medium","Yes"
"Stayed",3,"High","Yes"
"Stayed",1,"Medium","Yes"
"Stayed",3,"Medium","Yes"
"Left",5,"High","Yes"
"Left",2,"Low","No"
"Left",5,"Medium","No"
"Stayed",5,"High","Yes"
"Left",4,"Medium","No"
"Stayed",2,"Medium","Yes"
"Stayed",1,"Low","Yes"
"Left",2,"High","No"
"Stayed",3,"Medium","Yes"
"Left",3,"High","No"
"Stayed",2,"High","Yes"
"Left",2,"High","Yes"
"Left",5,"Medium","No"
"Stayed",4,"Low","No"
"Stayed",3,"Medium","No"
"Stayed",4,"High","Yes"
"Left",5,"Medium","Yes"
"Left",2,"Medium","Yes"
"Stayed",2,"Low","No"
"Left",1,"Medium","No"
"Stayed",5,"High","No"
"Stayed",3,"Low","No"
"Stayed",3,"Medium","Yes"
"Stayed",5,"Low","No"
"Stayed",5,"Low","Yes"
"Stayed",2,"High","No"
"Stayed",5,"Low","Yes"
"Left",5,"High","No"
"Stayed",2,"High","Yes"
"Stayed",1,"Low","Yes"
"Stayed",4,"Low","Yes"
"Stayed",2,"Medium","Yes"
"Stayed",3,"Medium","Yes"
"Left",1,"High","No"
"Stayed",2,"Medium","No"
"Left",5,"Medium","Yes"
"Left",2,"Medium","No"
"Left",4,"Medium","No"
"Left",3,"Low","Yes"
"Stayed",4,"Low","No"
