"mkt_email","next_mnth_pv","age","tenure","vehicle","kids","clothes","computers","food","furniture","garden","jewelry","music","pets","sports","toys","electronics","beauty","books","games","home","movies","outdoors","shoes","tools","health"
1,233.48,34,2,0,0,1,1,3,0,0,0,0,0,1,1,3,3,1,1,0,1,3,1,0,1
0,126.48,61,5,1,1,2,5,0,0,1,1,0,0,0,1,2,2,1,0,0,0,0,0,0,2
1,105.66,40,2,1,0,1,1,4,0,1,0,0,1,3,1,0,1,0,1,0,3,0,1,0,0
1,181.68,66,3,1,1,4,0,2,0,0,0,3,2,0,2,0,4,0,0,1,1,0,0,2,0
0,228.58,69,6,0,0,3,0,3,1,2,0,0,1,2,0,2,2,1,0,1,1,2,1,1,0
0,121.11,20,3,0,0,0,0,2,1,0,0,2,0,0,1,2,1,2,1,0,4,2,0,0,1
0,162.43,47,4,0,2,4,0,4,1,3,0,1,0,2,1,2,1,2,0,0,2,1,1,0,3
0,192.61,66,7,0,0,6,1,2,0,0,0,2,2,1,0,3,2,1,1,1,0,1,1,0,2
1,225.3,48,1,1,1,1,1,6,0,0,1,2,1,0,2,2,2,1,1,0,2,2,4,0,3
0,176.27,43,8,0,0,4,1,4,0,1,0,0,1,3,0,2,0,1,0,2,1,0,1,0,0
1,214.13,70,9,0,2,2,0,3,0,1,0,0,1,2,0,2,3,0,3,1,1,0,0,1,0
1,167.89,42,6,0,0,0,0,6,2,0,0,1,2,1,0,2,2,0,1,1,0,1,0,0,1
1,343.11,55,5,0,0,2,2,4,0,2,0,2,1,0,2,1,1,1,0,5,1,1,0,0,0
1,204.84,49,3,1,0,2,1,4,1,1,1,0,0,2,4,0,1,3,0,2,2,0,1,0,4
1,75.95,24,5,0,1,0,2,3,0,0,1,1,0,1,2,1,1,0,0,1,0,2,4,0,0
1,224.38,67,3,1,0,2,2,1,0,1,1,2,2,1,0,4,1,0,2,3,0,0,1,0,1
1,267.15,31,5,0,1,2,1,2,1,0,0,0,1,1,0,3,1,1,1,1,1,1,2,0,1
0,129.55,20,2,0,2,1,0,2,1,1,0,0,1,1,0,3,2,1,0,2,2,2,0,1,0
0,122.6,36,6,0,1,0,2,3,0,1,0,0,0,1,0,2,2,1,1,1,1,1,2,0,1
1,205.63,70,6,0,1,0,0,2,0,0,1,2,0,2,0,0,0,3,0,1,0,0,2,1,1
0,174.46,66,7,0,1,2,2,1,0,1,0,1,1,1,1,1,1,2,0,3,1,0,1,0,0
