customer_id,group,plan,date,month,paid,type
AC49472,treatment,free,2025-02-01,2,5.54,purchase
BP61044,treatment,free,2025-02-01,2,4.95,purchase
BR53099,treatment,pro,2025-02-01,2,20.51,purchase
CB74096,control,free,2025-02-01,2,10.73,purchase
CI76420,control,free,2025-02-01,2,9.83,purchase
ES58455,control,free,2025-02-01,2,3.42,purchase
ES58455,control,free,2025-02-01,2,3.54,purchase
EZ85651,control,free,2025-02-01,2,0,subscription
GX47135,control,free,2025-02-01,2,14.93,purchase
IK36036,treatment,free,2025-02-01,2,12.12,purchase
IO13244,control,free,2025-02-01,2,0,subscription
JI84522,control,free,2025-02-01,2,0,subscription
JO81235,control,free,2025-02-01,2,16.16,purchase
KX32698,treatment,pro,2025-02-01,2,14.99,subscription
LW80473,control,free,2025-02-01,2,4.45,purchase
OK24742,treatment,free,2025-02-01,2,8.59,purchase
OQ67561,treatment,free,2025-02-01,2,13.91,purchase
PS41109,control,free,2025-02-01,2,13.11,purchase
RA86334,control,free,2025-02-01,2,0,subscription
RK12038,treatment,free,2025-02-01,2,2.01,purchase
RT85871,treatment,free,2025-02-01,2,0.33,purchase
SS28085,control,free,2025-02-01,2,1.84,purchase
TK82944,treatment,free,2025-02-01,2,31.26,purchase
TM69076,control,free,2025-02-01,2,3.25,purchase
TN59157,control,free,2025-02-01,2,4.86,purchase
UH91448,treatment,free,2025-02-01,2,9.99,purchase
VE40658,control,free,2025-02-01,2,0,subscription
VM92479,treatment,free,2025-02-01,2,2.59,purchase
YH91808,control,free,2025-02-01,2,0,subscription
ZI77829,treatment,free,2025-02-01,2,4.12,purchase
ZL70746,control,free,2025-02-01,2,2.52,purchase
ZM46195,control,free,2025-02-01,2,7.76,purchase
ZO22100,treatment,free,2025-02-01,2,0,subscription
ZP62953,treatment,free,2025-02-01,2,1.35,purchase
BT68388,treatment,free,2025-02-02,2,9.52,purchase
BV89992,treatment,free,2025-02-02,2,5.57,purchase
CD25895,control,free,2025-02-02,2,0,subscription
CM51408,control,free,2025-02-02,2,15.54,purchase
CZ47554,control,free,2025-02-02,2,6.62,purchase
DV89743,control,free,2025-02-02,2,11.21,purchase
DV91090,treatment,free,2025-02-02,2,24.22,purchase
EN92584,treatment,free,2025-02-02,2,0,subscription
HA13555,control,free,2025-02-02,2,1.27,purchase
HU68969,treatment,free,2025-02-02,2,3.82,purchase
HU79751,control,free,2025-02-02,2,7.34,purchase
IK36036,treatment,free,2025-02-02,2,9.11,purchase
IX68994,control,free,2025-02-02,2,11.45,purchase
IZ56963,control,free,2025-02-02,2,2.77,purchase
JF76004,treatment,pro,2025-02-02,2,54.28,purchase
JG13833,control,free,2025-02-02,2,41.14,purchase
LC46858,treatment,free,2025-02-02,2,1.72,purchase
ME15383,control,free,2025-02-02,2,3.44,purchase
NA59092,control,free,2025-02-02,2,37.11,purchase
NB38861,control,plus,2025-02-02,2,14.92,purchase
NJ18546,treatment,free,2025-02-02,2,0,subscription
NN81130,treatment,free,2025-02-02,2,9.24,purchase
NR87936,treatment,free,2025-02-02,2,0,subscription
OB23939,treatment,free,2025-02-02,2,0,subscription
PK61719,treatment,free,2025-02-02,2,0,subscription
PL59090,control,free,2025-02-02,2,0,subscription
QV85264,treatment,free,2025-02-02,2,3.74,purchase
SC92906,treatment,pro,2025-02-02,2,20.32,purchase
SY30255,control,free,2025-02-02,2,13.38,purchase
TV10445,control,free,2025-02-02,2,16.36,purchase
UQ24901,control,free,2025-02-02,2,0,subscription
UR55279,treatment,free,2025-02-02,2,6.3,purchase
VN82772,control,free,2025-02-02,2,0,subscription
XS60607,control,free,2025-02-02,2,0,subscription
YL85052,treatment,free,2025-02-02,2,0,subscription
YP58186,treatment,free,2025-02-02,2,7.53,purchase
ZE10704,treatment,pro,2025-02-02,2,27.61,purchase
AB15562,control,free,2025-02-03,2,6.71,purchase
AC49472,treatment,free,2025-02-03,2,5.31,purchase
AV80231,control,free,2025-02-03,2,4.23,purchase
AW22883,treatment,free,2025-02-03,2,8.39,purchase
AW31966,treatment,free,2025-02-03,2,0,subscription
CH40414,control,free,2025-02-03,2,0,subscription
CM64027,control,free,2025-02-03,2,0,subscription
CW32001,control,free,2025-02-03,2,18.1,purchase
DI44028,treatment,free,2025-02-03,2,0,subscription
DW88247,treatment,free,2025-02-03,2,9.56,purchase
EM77975,treatment,free,2025-02-03,2,8.53,purchase
EO95434,control,free,2025-02-03,2,24.81,purchase
EY10327,treatment,free,2025-02-03,2,0,subscription
FF26729,control,free,2025-02-03,2,0,subscription
FR58039,treatment,free,2025-02-03,2,0,subscription
GT64560,control,free,2025-02-03,2,0,subscription
GX47135,control,free,2025-02-03,2,18.62,purchase
GY50101,control,free,2025-02-03,2,0,subscription
IQ78807,treatment,free,2025-02-03,2,23.68,purchase
JF49372,treatment,free,2025-02-03,2,11.58,purchase
JV24199,control,free,2025-02-03,2,28.01,purchase
KJ15989,control,free,2025-02-03,2,0,subscription
LV88443,control,free,2025-02-03,2,5.73,purchase
MG93465,treatment,plus,2025-02-03,2,11.03,purchase
MT69036,treatment,free,2025-02-03,2,3.67,purchase
NJ81085,control,free,2025-02-03,2,0,subscription
NZ29270,treatment,free,2025-02-03,2,0,subscription
PH60842,treatment,free,2025-02-03,2,46.55,purchase
PL42633,control,free,2025-02-03,2,1.66,purchase
RP58055,treatment,free,2025-02-03,2,2.21,purchase
RV96488,control,free,2025-02-03,2,42.38,purchase
SE10620,control,free,2025-02-03,2,6.48,purchase
SS28085,control,free,2025-02-03,2,9.01,purchase
SW58552,control,free,2025-02-03,2,7.22,purchase
TK22967,control,free,2025-02-03,2,42,purchase
TR42348,treatment,free,2025-02-03,2,5.18,purchase
UF69654,treatment,free,2025-02-03,2,14.16,purchase
UX72059,treatment,free,2025-02-03,2,0,subscription
VO34766,control,free,2025-02-03,2,3.83,purchase
VZ77657,control,plus,2025-02-03,2,9.99,subscription
ZM51239,treatment,free,2025-02-03,2,0,subscription
ZQ61915,control,free,2025-02-03,2,11.22,purchase
ZT50534,control,free,2025-02-03,2,0,subscription
ZW60016,control,free,2025-02-03,2,7.9,purchase
BW96414,control,free,2025-02-04,2,0,subscription
