"customer_id","plan","subscription_start_date","subscription_duration","subscription_end_date","subscription_fee","purchase_date","purchase_amount","total_revenue"
18847,"free",2022-03-01,0,NA,0,NA,0,0
18895,"free",2022-09-19,0,NA,0,NA,0,0
26803,"free",2022-09-22,0,NA,0,NA,0,0
25102,"paid",2022-02-26,5,2022-07-26,34.95,NA,0,34.95
28867,"free",2022-10-20,0,NA,0,NA,0,0
2986,"free",2022-08-04,0,NA,0,NA,0,0
1842,"paid",2022-03-17,9,2022-12-17,62.91,2022-07-24,13.36,76.27
25718,"free",2022-03-10,0,NA,0,NA,0,0
3371,"paid",2022-09-22,11,2023-08-22,76.89,NA,0,76.89
29925,"free",2022-10-28,0,NA,0,NA,0,0
29940,"free",2022-02-12,0,NA,0,NA,0,0
29710,"free",2022-07-17,0,NA,0,NA,0,0
11638,"free",2022-03-31,0,NA,0,NA,0,0
4761,"free",2022-10-15,0,NA,0,NA,0,0
6746,"paid",2022-08-13,5,2023-01-13,34.95,NA,0,34.95
26203,"free",2022-08-29,0,NA,0,NA,0,0
16128,"free",2022-01-02,0,NA,0,NA,0,0
2757,"free",2022-01-24,0,NA,0,NA,0,0
21491,"free",2022-05-18,0,NA,0,NA,0,0
29787,"free",2022-10-11,0,NA,0,NA,0,0
25529,"free",2022-09-27,0,NA,0,NA,0,0
12636,"free",2022-08-27,0,NA,0,NA,0,0
9209,"free",2022-04-21,0,NA,0,NA,0,0
10205,"free",2022-05-10,0,NA,0,NA,0,0
13667,"free",2022-11-13,0,NA,0,NA,0,0
2888,"free",2022-01-21,0,NA,0,NA,0,0
6170,"free",2022-07-23,0,NA,0,NA,0,0
18951,"free",2022-05-31,0,NA,0,NA,0,0
9642,"free",2022-11-09,0,NA,0,NA,0,0
26366,"free",2022-11-15,0,NA,0,NA,0,0
12499,"free",2022-03-20,0,NA,0,NA,0,0
19364,"paid",2022-08-09,12,2023-08-09,83.88,2022-06-25,49.66,133.54
1614,"paid",2022-07-27,5,2022-12-27,34.95,NA,0,34.95
16939,"free",2022-10-06,0,NA,0,NA,0,0
14183,"paid",2022-11-16,2,2023-01-16,13.98,NA,0,13.98
20853,"free",2022-04-20,0,NA,0,NA,0,0
15180,"free",2022-06-25,0,NA,0,NA,0,0
9359,"free",2022-12-22,0,NA,0,NA,0,0
27168,"free",2022-08-10,0,NA,0,NA,0,0
27114,"free",2022-03-22,0,NA,0,NA,0,0
24173,"paid",2022-08-15,12,2023-08-15,83.88,2022-10-07,21.32,105.2
9991,"free",2022-01-29,0,NA,0,NA,0,0
9097,"free",2022-02-06,0,NA,0,NA,0,0
15273,"free",2022-08-10,0,NA,0,NA,0,0
17431,"paid",2022-12-13,10,2023-10-13,69.9,NA,0,69.9
23451,"free",2022-04-20,0,NA,0,NA,0,0
3004,"paid",2022-07-15,7,2023-02-15,48.93,NA,0,48.93
28981,"free",2022-05-20,0,NA,0,NA,0,0
19591,"paid",2022-07-07,11,2023-06-07,76.89,NA,0,76.89
7989,"free",2022-07-31,0,NA,0,NA,0,0
3995,"free",2022-10-24,0,NA,0,NA,0,0
13536,"free",2022-05-10,0,NA,0,NA,0,0
8358,"free",2022-01-08,0,NA,0,NA,0,0
16601,"free",2022-04-16,0,NA,0,NA,0,0
25890,"paid",2022-05-23,4,2022-09-23,27.96,NA,0,27.96
24541,"free",2022-10-02,0,NA,0,NA,0,0
10821,"free",2022-09-22,0,NA,0,NA,0,0
6216,"free",2022-03-09,0,NA,0,NA,0,0
25164,"free",2022-06-18,0,NA,0,NA,0,0
17983,"free",2022-07-15,0,NA,0,NA,0,0
20621,"free",2022-07-16,0,NA,0,NA,0,0
29394,"free",2022-12-03,0,NA,0,NA,0,0
20321,"free",2022-04-12,0,NA,0,NA,0,0
20473,"free",2022-05-10,0,NA,0,NA,0,0
19291,"paid",2022-11-17,10,2023-09-17,69.9,NA,0,69.9
28825,"free",2022-11-23,0,NA,0,NA,0,0
16678,"free",2022-09-22,0,NA,0,NA,0,0
8469,"paid",2022-09-22,5,2023-02-22,34.95,2022-01-14,8.12,43.07
13775,"free",2022-04-27,0,NA,0,NA,0,0
41,"free",2022-02-23,0,NA,0,NA,0,0
14426,"paid",2022-02-13,5,2022-07-13,34.95,NA,0,34.95
24892,"free",2022-01-01,0,NA,0,NA,0,0
7391,"paid",2022-12-25,11,2023-11-25,76.89,NA,0,76.89
23056,"free",2022-07-06,0,NA,0,NA,0,0
7284,"paid",2022-04-17,2,2022-06-17,13.98,2022-10-30,18.5,32.48
15966,"free",2022-03-20,0,NA,0,NA,0,0
11014,"free",2022-02-18,0,NA,0,NA,0,0
27371,"paid",2022-09-16,6,2023-03-16,41.94,NA,0,41.94
18888,"free",2022-12-25,0,NA,0,NA,0,0
6742,"free",2022-03-01,0,NA,0,NA,0,0
28502,"paid",2022-04-14,1,2022-05-14,6.99,NA,0,6.99
25759,"free",2022-02-20,0,NA,0,NA,0,0
25328,"free",2022-07-31,0,NA,0,NA,0,0
11473,"free",2022-12-07,0,NA,0,NA,0,0
8566,"free",2022-01-19,0,NA,0,NA,0,0
10034,"free",2022-01-05,0,NA,0,NA,0,0
22513,"free",2022-02-04,0,NA,0,NA,0,0
10274,"free",2022-10-29,0,NA,0,NA,0,0
