"customer_id","free_shipping","customer_type","order_total","visit_duration","purchase"
"C23796","no","new",0,2.1,FALSE
"C65845","no","returning",18.6,8.1,TRUE
"C31755","no","new",0,12,FALSE
"C28712","no","new",0,16.7,FALSE
"C89816","no","new",0,16.2,FALSE
"C63849","no","new",43.57,5.5,TRUE
"C52666","no","returning",0,7.6,FALSE
"C39703","no","returning",54.51,6.9,TRUE
"C94621","no","returning",42.51,14.1,TRUE
"C57300","no","returning",0,8.4,FALSE
"C56104","no","returning",49.58,2.7,TRUE
"C52149","no","returning",24.76,7.7,TRUE
"C92148","no","new",0,11.6,FALSE
"C24241","no","new",0,15.8,FALSE
"C72147","no","new",21.09,2.1,TRUE
"C44624","no","new",12.15,10.3,TRUE
"C84008","no","returning",39.95,4.8,TRUE
"C15139","no","new",0,6.3,FALSE
"C68607","no","new",36.19,5.7,TRUE
"C50451","no","returning",0,7.4,FALSE
"C92191","no","new",0,13.5,FALSE
"C36776","no","returning",22.28,1.4,TRUE
"C31530","no","new",0,15.4,FALSE
"C14974","no","new",15.43,12.4,TRUE
"C75634","no","new",36.14,11.5,TRUE
"C34512","no","returning",7.64,6.3,TRUE
"C63837","no","returning",30.3,10.4,TRUE
"C64808","no","new",0,1.2,FALSE
"C62341","no","returning",0,6.6,FALSE
"C61877","no","new",0,13.5,FALSE
"C35552","no","new",0,11,FALSE
"C84303","no","new",0,13.2,FALSE
"C94076","no","returning",0,0.6,FALSE
"C55892","no","returning",0,8,FALSE
"C96610","no","new",0,14.2,FALSE
"C93618","no","returning",0,5.1,FALSE
"C59444","no","new",0,7.4,FALSE
"C79000","no","returning",46.15,9,TRUE
"C55236","no","new",20.65,16.6,TRUE
"C43455","no","returning",0,10.8,FALSE
"C80579","no","returning",27.47,9,TRUE
"C97602","no","new",24.06,7.3,TRUE
"C72982","no","new",39.4,13,TRUE
"C25419","no","returning",0,8.5,FALSE
"C38288","no","returning",34.16,16.4,TRUE
"C47856","no","new",0,18.7,FALSE
"C68009","no","new",16.45,15.7,TRUE
"C71372","no","new",34.07,16.9,TRUE
"C83989","no","returning",44.93,5.8,TRUE
"C45483","no","returning",33.08,2.4,TRUE
"C15299","no","returning",52.41,10.6,TRUE
"C74364","no","returning",0,13,FALSE
"C22300","no","returning",21.23,18.1,TRUE
"C42495","no","new",21.37,10.6,TRUE
"C70842","no","new",25.4,3.7,TRUE
"C16705","no","returning",0,15.1,FALSE
"C62151","no","new",0,12.2,FALSE
"C21592","no","returning",0,9,FALSE
"C29562","no","returning",0,14.7,FALSE
"C36273","no","new",5.46,5.7,TRUE
"C79543","no","returning",22.67,15,TRUE
"C79772","no","returning",33.3,10.7,TRUE
"C87316","no","returning",26.57,11.8,TRUE
"C26958","no","new",0,8.3,FALSE
"C20162","no","new",0,18.4,FALSE
"C60746","no","returning",41.31,11,TRUE
"C24647","no","new",0,10.2,FALSE
"C82274","no","returning",40.35,15.8,TRUE
"C79294","no","returning",0,14.8,FALSE
"C52961","no","new",0,21,FALSE
"C30996","no","new",0,4.7,FALSE
"C21900","no","new",0,8.1,FALSE
"C17663","no","new",0,8.5,FALSE
"C92395","no","new",53.54,10.6,TRUE
"C87783","no","returning",29.02,10.6,TRUE
"C66212","no","returning",0,8.5,FALSE
"C32731","no","new",0,20.4,FALSE
"C74712","no","new",21.91,10.2,TRUE
"C64427","no","returning",32.22,6,TRUE
"C31926","no","returning",0,13.2,FALSE
"C35566","no","new",20.82,14,TRUE
"C12272","no","new",0,6.5,FALSE
"C91130","no","returning",0,5.6,FALSE
"C10266","no","returning",60.21,2.9,TRUE
"C66452","no","returning",28.82,5.7,TRUE
"C75855","no","new",0,3.1,FALSE
"C76061","no","returning",47.51,0.8,TRUE
"C18180","no","returning",0,14.3,FALSE
"C92664","no","new",0,13.8,FALSE
"C55214","no","new",0,7.4,FALSE
"C47384","no","returning",0,4.1,FALSE
"C28568","no","new",41.99,10.7,TRUE
"C24110","no","returning",0,15.4,FALSE
"C42739","no","returning",42.56,5.7,TRUE
"C52361","no","new",0,18.8,FALSE
"C27598","no","new",0,13.9,FALSE
"C65383","no","returning",0,9.5,FALSE
"C15020","no","returning",17.62,6,TRUE
"C53745","no","returning",28.05,9.2,TRUE
"C50918","no","returning",0,7.7,FALSE
"C16592","no","new",26.16,13.1,TRUE
"C96913","no","new",0,11.2,FALSE
"C14910","no","returning",21.77,6.5,TRUE
"C58007","no","new",0,16,FALSE
"C14259","no","returning",9.77,5.9,TRUE
"C80616","no","new",0,4.9,FALSE
"C84097","no","new",0,1.2,FALSE
"C97525","no","new",0,15.4,FALSE
"C56712","no","new",0,13.5,FALSE
"C87869","no","new",44.68,13.4,TRUE
"C85744","no","new",0,13.1,FALSE
"C56054","no","new",0,13.2,FALSE
