"departament_id","intervention","engagement_score","tenure","n_of_reports","gender","role","last_engagement_score","department_score","department_size"
76,1,0.28,6,4,2,4,0.61,0,843
76,1,-0.45,4,8,2,4,0.07,0,843
76,1,0.77,6,4,2,4,0.87,0,843
76,1,-0.12,6,4,2,4,0.03,0,843
76,1,1.53,6,4,1,4,0.59,0,843
76,1,0.01,6,4,2,4,-0.39,0,843
76,1,1.74,6,4,1,4,1.96,0,843
76,1,0.95,6,4,1,4,3.73,0,843
76,1,2.37,6,5,2,4,-0.93,0,843
76,1,1.26,6,4,1,4,0.32,0,843
76,1,-0.56,6,5,2,4,0.77,0,843
76,1,-2.05,4,4,2,4,1.62,0,843
76,1,-0.24,6,4,1,4,1.83,0,843
76,1,0.54,6,4,1,4,-0.27,0,843
76,1,-0.03,6,4,2,4,0.43,0,843
76,1,-0.25,6,1,1,4,0.37,0,843
76,1,-0.06,4,4,1,4,1.95,0,843
76,1,-0.25,6,4,1,4,-0.49,0,843
76,1,0.61,6,4,1,4,0.83,0,843
76,1,0.56,6,4,1,4,2.57,0,843
76,1,2.22,7,5,1,4,-0.49,0,843
76,1,-0.08,5,4,1,4,1.07,0,843
76,1,0.31,5,4,1,4,1.44,0,843
76,1,0.16,5,4,2,4,-0.08,0,843
76,1,1.21,6,4,1,4,1.06,0,843
76,1,0.55,6,4,2,4,-0.22,0,843
76,1,0.63,6,4,1,4,-0.1,0,843
76,1,0.85,6,8,1,4,-0.39,0,843
76,1,0.45,6,4,1,4,1.5,0,843
76,1,1.19,5,4,1,4,0.87,0,843
76,1,-0.12,5,4,1,4,2.4,0,843
76,1,-1.4,3,4,1,4,0.37,0,843
76,1,1.06,5,4,1,4,0.72,0,843
76,1,0.38,5,4,2,4,-1.19,0,843
76,1,-1.92,3,4,2,4,0.39,0,843
76,1,1.37,6,4,2,4,0.2,0,843
76,1,-0.61,4,4,2,4,0.98,0,843
76,1,0.27,5,2,1,4,0.96,0,843
76,1,-0.3,6,4,1,4,1.14,0,843
76,1,1.78,6,4,2,4,1.09,0,843
76,1,-0.15,5,4,2,4,0.3,0,843
76,1,1.29,6,4,2,4,0.83,0,843
76,1,0.06,6,4,2,4,0.29,0,843
76,1,-0.14,6,4,1,4,0.67,0,843
76,1,-0.39,6,4,2,4,0.24,0,843
76,1,1.01,6,4,1,4,-0.16,0,843
76,1,0.1,6,4,1,4,1.63,0,843
76,1,-0.35,5,4,2,4,1.03,0,843
76,1,1.31,7,1,1,4,1.02,0,843
76,1,-0.4,5,4,1,4,1,0,843
76,1,1.1,5,4,1,4,0.13,0,843
76,1,-0.57,5,4,2,4,2.96,0,843
76,1,1.16,6,4,2,4,0.02,0,843
76,1,0.21,6,4,2,4,1.25,0,843
76,1,0.59,6,4,1,4,0.08,0,843
76,1,-0.06,5,1,1,4,2.3,0,843
76,1,2.29,5,4,2,4,-0.25,0,843
76,1,0.46,5,5,1,4,0.72,0,843
76,1,-0.94,3,4,2,4,-1.1,0,843
76,1,-0.14,6,4,1,4,-0.83,0,843
76,1,1.94,7,4,2,4,0.1,0,843
76,1,-0.19,4,4,1,4,0.51,0,843
76,1,0.75,7,1,1,4,-0.41,0,843
76,1,0.14,6,4,2,4,1.75,0,843
75,1,0.47,6,2,1,3,-0.2,0,665
75,1,-0.02,6,2,1,3,1.19,0,665
75,1,1.03,6,2,2,3,0.01,0,665
75,1,1.68,6,2,2,3,-1.94,0,665
75,1,0.26,5,8,2,3,-0.56,0,665
75,1,0.52,6,2,2,3,-0.42,0,665
75,1,0.62,5,2,2,3,0,0,665
75,1,0.7,5,2,1,3,-0.67,0,665
75,1,-0.38,3,2,2,3,0.11,0,665
75,1,2.08,6,2,1,3,-1.85,0,665
75,1,1.13,5,8,1,3,-1.18,0,665
75,1,0.07,5,2,2,3,0.26,0,665
75,1,-0.2,6,2,2,3,-0.06,0,665
75,1,0.92,5,2,1,3,-1.89,0,665
75,1,1.66,7,2,1,3,0.72,0,665
75,1,-0.06,4,8,1,3,0.43,0,665
75,1,-0.51,5,8,2,3,-1.5,0,665
75,1,1.33,7,8,1,3,-2.43,0,665
75,1,-0.98,6,2,2,3,-1.01,0,665
75,1,-1.13,4,8,1,3,-2.42,0,665
75,1,-0.78,5,2,1,3,-0.08,0,665
75,1,-0.45,6,4,2,3,-0.97,0,665
75,1,-0.38,5,4,2,3,-0.96,0,665
75,1,-1.82,4,4,1,3,-0.62,0,665
75,1,0.72,6,2,1,3,-0.03,0,665
75,1,0.55,5,8,1,3,-1.42,0,665
75,1,-0.78,5,2,1,3,-0.38,0,665
75,1,1.04,6,2,2,3,-0.35,0,665
75,1,0.61,6,4,2,3,-0.19,0,665
75,1,0.62,6,2,1,3,-0.17,0,665
75,1,1.73,6,8,2,3,0.08,0,665
75,1,1.12,5,2,1,3,-0.94,0,665
75,1,-0.11,5,8,1,3,-0.49,0,665
75,1,-0.2,6,4,2,3,-1.29,0,665
75,1,2.1,7,8,1,3,-1.63,0,665
75,1,-0.43,6,8,1,3,-0.12,0,665
75,1,-0.9,3,2,1,3,-0.09,0,665
75,1,-0.04,4,2,2,3,-0.51,0,665
75,1,-0.32,4,4,1,3,0.57,0,665
75,1,-0.24,3,8,1,3,2.73,0,665
75,1,-0.3,3,8,2,3,-0.76,0,665
75,1,0.83,6,4,2,3,-1.22,0,665
75,1,1.74,5,2,2,3,-0.85,0,665
75,1,0.64,6,4,2,3,-1.71,0,665
75,1,-0.41,6,4,1,3,-1.27,0,665
75,1,0.12,5,2,1,3,-0.95,0,665
75,1,1.26,6,2,1,3,-0.86,0,665
75,1,1.08,7,2,2,3,-0.98,0,665
75,1,0.65,5,8,2,3,-0.78,0,665
