"mkt_email","next_mnth_pv","age","tenure","vehicle","kids","clothes","computers","food","furniture","garden","jewelry","music","pets","sports","toys","electronics","beauty","books","games","home","movies","outdoors","shoes","tools","health"
1,89.55,67,4,0,1,1,1,3,1,0,0,2,0,1,0,0,0,1,0,2,1,0,1,1,3
1,148,69,6,0,0,2,2,5,0,0,0,0,0,1,0,0,4,3,0,1,1,1,0,1,0
1,126.98,33,5,0,2,5,0,2,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,1,0
1,189.37,63,4,0,2,4,0,6,1,0,0,0,0,0,1,0,1,0,2,0,0,3,0,1,2
1,165.56,53,3,0,1,3,3,7,0,0,0,0,1,3,0,2,1,1,0,1,0,0,1,0,0
1,156.85,46,4,0,0,3,1,3,1,0,0,2,3,1,0,1,2,1,1,0,0,0,5,0,0
1,202.2,58,6,0,1,4,3,2,0,1,0,2,2,2,0,6,2,1,1,1,0,0,2,0,0
1,141.36,25,5,1,1,1,0,2,1,1,1,0,0,0,0,2,1,0,1,1,1,1,3,1,1
0,126.63,53,3,0,0,2,2,5,0,0,0,0,3,0,0,0,2,1,1,1,0,2,0,0,1
1,174.54,56,3,0,2,0,1,1,0,1,0,1,0,3,3,2,2,2,0,2,1,0,1,2,1
1,145.92,43,0,0,2,0,1,3,0,0,0,0,0,1,0,1,0,1,2,0,0,0,2,3,2
0,64.41,57,5,0,1,0,0,1,0,0,0,1,0,2,0,2,1,0,1,1,0,2,1,0,2
0,213.33,68,6,0,1,3,1,1,2,0,0,1,0,0,1,2,1,1,0,0,0,1,0,1,0
0,219.64,32,1,0,0,2,2,4,1,0,0,0,0,2,0,2,0,2,0,2,0,0,3,1,0
1,73.1,43,4,1,2,0,3,3,1,0,1,2,0,0,0,1,1,1,0,1,2,0,1,0,0
0,233.92,69,3,3,0,3,3,5,1,1,1,0,1,0,1,3,1,2,0,2,1,0,0,1,1
1,323.46,71,2,2,2,2,1,5,0,1,0,1,1,2,0,4,1,0,1,4,0,0,0,0,1
1,172.57,24,4,0,1,2,2,3,1,0,0,1,0,1,0,3,0,2,1,0,1,0,1,1,1
1,146.29,44,2,0,1,2,3,2,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,2
1,139.08,48,4,0,2,0,0,2,0,0,1,2,0,0,0,1,4,0,2,1,5,1,0,0,1
1,191.94,67,7,0,0,2,3,6,1,1,0,0,0,0,2,2,1,0,0,0,2,0,0,1,1
1,168.83,25,0,0,2,3,0,0,0,0,0,1,0,1,1,0,0,3,1,0,1,0,2,0,2
1,98.84,71,2,0,1,0,1,1,0,0,0,1,1,2,2,1,1,0,1,1,0,0,2,0,0
1,109.76,69,3,0,0,3,2,6,0,0,0,1,0,2,0,3,2,2,4,1,0,1,2,0,0
1,187.14,22,7,0,1,4,0,2,1,0,1,0,0,4,0,2,2,1,0,3,1,1,2,0,3
1,211.99,46,6,0,1,2,2,5,0,0,0,0,1,2,2,0,1,2,2,0,0,0,3,0,3
1,228.04,39,4,0,2,0,1,3,1,0,1,3,1,0,1,0,2,0,2,2,0,1,1,1,1
0,191.53,67,1,1,1,1,2,1,1,1,1,1,0,2,1,0,1,1,1,1,3,1,2,1,1
0,211.09,42,5,0,3,3,1,3,2,0,0,3,0,1,0,1,1,1,2,4,3,1,1,0,2
1,168.17,63,4,0,2,3,1,0,0,0,0,2,1,4,2,0,1,1,0,3,2,1,3,0,1
1,138.6,58,5,0,1,0,1,3,0,1,0,1,1,0,3,2,0,2,0,1,1,0,0,1,1
1,179.46,62,4,0,0,3,3,2,1,1,0,1,0,1,1,0,1,3,3,1,0,2,2,0,1
1,127.8,39,0,0,0,3,3,4,0,0,1,2,0,1,1,2,3,0,1,2,0,0,1,0,0
1,69.18,55,3,1,0,3,3,2,0,0,2,0,0,1,1,2,2,1,1,2,0,1,1,0,1
1,241.67,18,8,0,1,2,4,4,2,0,1,1,0,2,0,1,0,2,0,1,0,1,1,0,1
1,283.66,63,0,1,0,3,1,6,1,2,0,0,1,0,3,5,1,3,1,3,1,0,3,0,1
1,242.36,18,4,0,1,1,1,3,3,0,0,2,1,1,1,2,4,1,2,0,1,0,0,1,1
1,235.42,29,8,0,0,3,0,3,0,1,0,1,1,2,3,2,4,4,0,0,3,2,2,1,0
1,260.31,67,3,0,1,4,2,0,0,0,0,2,0,2,1,1,0,0,2,1,2,0,0,0,0
0,137.26,51,5,0,2,2,2,3,1,0,0,1,1,0,1,6,1,2,0,1,1,1,1,1,4
1,157.24,38,3,0,0,2,2,0,1,1,0,1,1,1,1,1,1,0,0,2,0,0,3,2,1
1,97.28,42,5,1,2,5,3,4,0,1,1,1,0,1,0,1,2,1,1,0,2,0,1,0,1
1,93.4,20,1,0,0,2,0,3,0,0,0,1,0,1,1,0,3,1,3,3,2,1,1,0,1
1,194.79,71,2,0,1,0,3,1,0,0,0,1,1,0,1,2,2,1,1,1,1,0,0,0,1
1,159.76,41,7,0,1,1,3,4,0,1,0,1,1,2,1,6,1,1,1,0,0,0,3,0,3
1,236.1,70,10,0,2,4,0,4,1,2,0,1,2,3,0,2,4,1,0,1,1,0,3,0,3
1,160.47,66,3,0,1,1,3,2,1,1,0,1,1,2,1,2,1,0,1,0,1,0,1,0,0
1,205.07,53,5,0,0,3,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2
1,184.97,70,7,1,0,0,2,0,1,1,1,2,0,0,0,1,1,2,1,0,0,2,1,0,1
0,181.59,51,3,0,1,3,2,1,0,1,2,1,0,1,2,4,1,0,0,2,0,0,1,2,1
0,166.21,36,4,1,1,2,2,1,0,0,2,2,0,2,3,3,2,1,0,3,2,2,0,0,2
1,229.39,37,6,2,0,3,0,1,0,2,0,0,0,1,1,0,0,1,1,1,2,0,0,1,1
1,154.24,40,0,0,2,2,1,2,1,0,0,1,0,1,2,3,3,0,2,4,1,1,0,0,0
1,272.12,60,6,0,0,5,0,2,0,0,0,0,1,1,1,2,2,5,1,1,0,0,1,0,1
1,144.34,20,2,0,0,3,0,5,1,1,3,0,0,1,1,0,2,1,1,2,0,2,1,1,0
0,116.13,58,4,0,1,2,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0
1,234.67,55,3,1,0,3,3,2,0,0,0,0,0,2,2,2,0,2,0,1,2,0,0,1,1
1,142.44,27,4,1,1,2,2,5,0,0,0,2,3,3,0,4,0,1,1,3,1,2,0,1,2
1,216.01,32,6,0,1,1,1,7,1,1,0,0,2,2,0,0,0,1,0,0,0,0,1,1,0
0,240.7,46,5,0,0,3,2,4,0,2,0,2,0,1,2,0,2,2,1,1,1,0,1,0,1
1,259.01,54,3,0,0,0,0,6,0,1,0,1,2,1,1,1,2,1,2,4,1,0,0,0,0
1,160.93,71,4,0,0,1,1,3,0,0,0,0,1,1,0,0,2,3,2,0,3,0,1,1,1
1,201.14,59,6,0,0,2,0,2,1,1,1,0,0,1,1,0,3,2,0,0,0,0,1,0,0
1,154.21,49,5,0,0,1,1,3,0,0,0,3,0,0,0,0,0,0,1,2,1,1,3,1,1
1,158.91,64,0,0,0,2,3,0,1,2,0,0,0,2,2,1,2,3,0,1,0,1,0,0,2
1,209.92,28,0,0,0,1,4,4,1,2,0,1,1,2,0,0,0,0,0,4,0,1,2,0,2
0,109.78,33,5,0,1,1,2,3,1,1,1,2,0,1,1,1,1,1,1,2,0,1,2,1,2
0,136.83,63,3,0,1,1,4,1,0,2,1,2,1,4,1,3,3,1,1,0,1,1,0,0,1
1,277.95,55,5,2,0,2,1,2,1,0,0,5,1,3,1,2,3,4,1,1,0,0,2,0,3
0,54.64,31,5,0,0,2,2,2,0,1,0,1,0,0,3,3,2,0,2,2,0,0,2,0,0
0,129.48,20,3,0,3,1,2,7,1,2,0,1,1,1,1,2,1,2,1,2,0,1,1,1,0
1,60.31,26,5,3,1,1,4,2,0,3,0,3,1,1,0,3,1,1,1,4,1,1,0,0,0
1,137.62,30,5,0,0,1,1,5,0,0,0,0,1,1,1,0,0,2,3,1,0,0,3,0,1
0,203.07,44,6,0,0,2,1,3,1,2,0,2,0,1,1,1,1,0,0,2,3,1,2,0,3
0,108.8,29,4,0,0,3,2,3,0,0,0,0,0,2,0,4,2,1,0,2,1,1,1,1,0
0,146.99,57,2,0,0,1,5,4,2,3,0,1,1,1,2,2,3,1,0,0,3,0,0,0,0
1,113.42,18,4,0,0,4,2,0,0,2,0,0,0,0,3,2,0,0,1,2,0,0,0,1,2
1,100.97,38,1,0,0,3,0,2,0,0,0,1,0,3,4,1,1,0,1,4,1,2,1,1,1
1,211.74,46,4,0,0,0,3,5,0,1,0,2,2,1,1,1,0,3,0,2,0,0,0,0,0
1,208.83,18,0,1,2,2,1,2,1,0,2,2,0,1,2,1,2,1,0,1,1,0,0,0,0
1,181.69,49,9,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,2,3,0,0,2,0,0
0,194.47,27,0,1,1,1,1,2,2,1,0,0,1,0,1,0,3,2,0,6,2,0,0,1,3
1,133.25,37,4,0,1,1,0,1,1,0,0,1,0,1,1,2,5,1,2,0,0,0,0,0,2
0,118.13,53,9,0,0,1,4,3,1,0,0,0,1,2,0,0,2,2,0,1,0,1,0,1,1
1,222.29,60,1,0,2,1,3,2,0,0,1,3,1,0,3,6,0,3,1,2,1,2,2,1,2
0,279.98,48,2,1,1,1,2,3,0,0,0,3,0,2,0,3,2,3,2,1,0,0,2,0,1
1,241.7,31,0,1,1,0,3,3,0,0,0,5,2,1,2,0,2,2,2,4,3,2,1,2,0
1,180.27,23,0,0,0,1,1,2,0,2,1,3,1,0,1,0,0,1,1,3,1,1,1,0,0
1,339.9,23,1,0,0,1,3,4,1,1,0,2,0,2,0,2,0,1,3,1,1,2,1,0,0
1,161.08,34,0,0,3,4,2,2,1,1,2,0,0,3,1,1,0,0,0,1,1,2,2,0,1
