"variable","type","description"
"customer_id","integer","Unique identifier for each customer"
"plan","character","Type of subscription plan (free or paid)"
"subscription_start_date","date","The date when the subscription (free or paid) started"
"subscription_duration","integer","Duration of the paid subscription in months"
"subscription_end_date","date","The date when the paid subscription ended"
"subscription_fee","numeric","The fee for the subscription"
"purchase_date","date","The date when a purchase was made"
"purchase_amount","numeric","The amount spent on the purchase"
"total_revenue","numeric","The total revenue generated from the customer"
"calculated_duration","numeric","Calculated duration based on start and end date"
