customer,treatment,converted,purchase,age,gender
61662,no,TRUE,16.02,34,M
67869,no,FALSE,0,32,F
12985,no,FALSE,0,28,M
39924,no,FALSE,0,25,M
78292,no,FALSE,0,32,F
72554,no,FALSE,0,25,M
55403,no,FALSE,0,34,M
75160,no,FALSE,0,30,M
56434,no,FALSE,0,32,F
19641,no,FALSE,0,31,M
69133,no,FALSE,0,27,F
62131,no,FALSE,0,31,F
24182,no,TRUE,20.21,29,M
25179,no,TRUE,31.37,32,F
37167,no,FALSE,0,29,F
99708,no,TRUE,16.56,30,F
19096,no,FALSE,0,28,F
40537,no,FALSE,0,31,M
66218,no,FALSE,0,29,M
17988,no,FALSE,0,30,M
23535,no,FALSE,0,30,F
16215,no,FALSE,0,29,F
93518,no,FALSE,0,31,F
39393,no,FALSE,0,28,M
63240,no,FALSE,0,32,F
38824,no,FALSE,0,31,M
10040,no,FALSE,0,34,F
24425,no,FALSE,0,30,F
82819,no,FALSE,0,27,M
61655,no,TRUE,20.1,28,F
68526,no,FALSE,0,29,F
87008,no,TRUE,25.04,28,F
53041,no,FALSE,0,29,F
87836,no,FALSE,0,30,M
16133,no,FALSE,0,27,F
43522,no,TRUE,11.27,28,F
31811,no,FALSE,0,33,F
49894,no,FALSE,0,29,F
19639,no,FALSE,0,28,F
95277,no,FALSE,0,32,M
19325,no,FALSE,0,26,F
36509,no,FALSE,0,28,F
30959,no,TRUE,28.28,31,F
24402,no,FALSE,0,27,F
74501,no,FALSE,0,33,F
81502,no,FALSE,0,32,F
55220,no,FALSE,0,27,M
87584,no,FALSE,0,29,F
90685,no,FALSE,0,30,F
80562,no,TRUE,16.13,27,F
42605,no,FALSE,0,30,M
26151,no,FALSE,0,30,F
35558,no,FALSE,0,32,M
24214,no,FALSE,0,29,F
24286,no,FALSE,0,28,M
33193,no,FALSE,0,27,M
44975,no,FALSE,0,30,M
24490,no,FALSE,0,30,F
92948,no,FALSE,0,30,M
87583,no,TRUE,0,29,M
50502,no,FALSE,0,31,F
44723,no,FALSE,0,29,M
96012,no,FALSE,0,28,F
27368,no,TRUE,22.95,31,F
41541,no,FALSE,0,28,M
69105,no,TRUE,19.86,32,M
96604,no,FALSE,0,36,F
50631,no,FALSE,0,31,F
53203,no,FALSE,0,27,M
47543,no,FALSE,0,31,M
94426,no,FALSE,0,25,F
86819,no,FALSE,0,30,M
92114,no,FALSE,0,29,M
54195,no,FALSE,0,27,F
54982,no,FALSE,0,28,M
46716,no,FALSE,0,28,M
38077,no,FALSE,0,29,M
79368,no,FALSE,0,28,F
53405,no,FALSE,0,30,M
51487,no,FALSE,0,28,M
57484,no,FALSE,0,31,M
73527,no,FALSE,0,31,M
24535,no,FALSE,0,29,M
93068,no,FALSE,0,28,M
61464,no,FALSE,0,28,M
36502,no,FALSE,0,28,F
98298,no,FALSE,0,30,F
42952,no,TRUE,15.08,31,F
10412,no,FALSE,0,27,M
20761,no,FALSE,0,28,M
58181,no,FALSE,0,31,M
40570,no,FALSE,0,27,F
52520,no,FALSE,0,32,F
84521,no,FALSE,0,27,M
24744,no,FALSE,0,31,M
35945,no,FALSE,0,28,F
90339,no,FALSE,0,28,M
53927,no,FALSE,0,29,M
16600,no,FALSE,0,33,F
67700,no,FALSE,0,33,F
63517,no,FALSE,0,32,F
82325,no,FALSE,0,30,M
62352,no,FALSE,0,33,F
76153,no,TRUE,17.7,30,F
57801,no,FALSE,0,30,M
41516,no,FALSE,0,31,F
76074,no,FALSE,0,26,M
42262,no,FALSE,0,29,F
79160,no,TRUE,18.55,30,F
91117,no,FALSE,0,30,F
66156,no,FALSE,0,27,F
29391,no,FALSE,0,32,F
56136,no,FALSE,0,29,F
77746,no,FALSE,0,29,M
12285,no,FALSE,0,25,M
69969,no,FALSE,0,31,F
94297,no,FALSE,0,29,M
64660,no,FALSE,0,32,M
42280,no,FALSE,0,32,F
74084,no,FALSE,0,27,F
17825,no,FALSE,0,28,F
90286,no,FALSE,0,31,M
99798,no,TRUE,0,30,M
35448,no,FALSE,0,29,M
73404,no,FALSE,0,31,F
86222,no,FALSE,0,29,M
74615,no,FALSE,0,30,F
37454,no,FALSE,0,35,M
64739,no,FALSE,0,28,F
88172,no,FALSE,0,28,M
30192,no,FALSE,0,28,F
76700,no,FALSE,0,26,M
32466,no,FALSE,0,27,F
73166,no,FALSE,0,25,F
89224,no,FALSE,0,32,F
73657,no,FALSE,0,28,F
59861,no,FALSE,0,29,M
94031,no,FALSE,0,31,F
89330,no,TRUE,19.73,30,M
94954,no,FALSE,0,27,M
61490,no,FALSE,0,30,F
25702,no,TRUE,19.36,30,M
16622,no,FALSE,0,30,M
18982,no,FALSE,0,24,M
47768,no,FALSE,0,27,F
39478,no,FALSE,0,31,M
80942,no,FALSE,0,31,M
88120,no,FALSE,0,25,F
96620,no,FALSE,0,32,F
11834,no,FALSE,0,31,F
52220,no,FALSE,0,31,M
31098,no,FALSE,0,28,F
51042,no,FALSE,0,27,F
66528,no,FALSE,0,31,M
46939,no,FALSE,0,26,M
86098,no,FALSE,0,32,F
48264,no,FALSE,0,28,M
86383,no,FALSE,0,28,M
56437,no,FALSE,0,30,M
85175,no,FALSE,0,27,F
98460,no,FALSE,0,30,F
79349,no,FALSE,0,25,M
18175,no,TRUE,30.54,32,M
86368,no,FALSE,0,28,M
27745,no,FALSE,0,26,F
63872,no,FALSE,0,29,F
39132,no,FALSE,0,26,M
10030,no,FALSE,0,29,M
17587,no,FALSE,0,27,M
14619,no,FALSE,0,33,M
55979,no,FALSE,0,24,F
78782,no,FALSE,0,28,F
61572,no,FALSE,0,29,M
99551,no,FALSE,0,27,F
80777,no,FALSE,0,31,M
21666,no,FALSE,0,27,F
43026,no,TRUE,20.39,28,F
97904,no,TRUE,17.32,27,F
80944,no,FALSE,0,31,M
86791,no,FALSE,0,29,F
99435,no,FALSE,0,29,M
12449,no,FALSE,0,27,F
54499,no,FALSE,0,29,M
11672,no,FALSE,0,28,F
29850,no,TRUE,14.25,27,F
58433,no,FALSE,0,30,M
93528,no,TRUE,14.74,22,F
16006,no,FALSE,0,29,F
93679,no,FALSE,0,26,F
65991,no,FALSE,0,26,F
88966,no,FALSE,0,30,F
76595,no,FALSE,0,32,M
70905,no,TRUE,0,31,M
88714,no,FALSE,0,29,M
56467,no,FALSE,0,30,F
11203,no,FALSE,0,27,F
63271,no,FALSE,0,27,F
34110,no,TRUE,19.78,30,M
85454,no,FALSE,0,25,M
53693,no,FALSE,0,29,M
13983,no,FALSE,0,31,F
17879,no,FALSE,0,29,F
67721,no,FALSE,0,26,M
32118,no,FALSE,0,27,F
77631,no,FALSE,0,30,M
96408,no,FALSE,0,28,F
62522,no,FALSE,0,29,F
63917,no,FALSE,0,27,M
34521,no,FALSE,0,28,M
16332,no,FALSE,0,27,F
78429,no,FALSE,0,27,M
99418,no,TRUE,0,31,F
65736,no,FALSE,0,26,F
29954,no,FALSE,0,28,M
65367,no,FALSE,0,32,F
57817,no,FALSE,0,29,M
24416,no,FALSE,0,29,M
59285,no,FALSE,0,28,F
35243,no,FALSE,0,30,F
15595,no,FALSE,0,30,F
50275,no,FALSE,0,28,F
70100,no,FALSE,0,28,M
47166,no,FALSE,0,32,F
79231,no,FALSE,0,28,M
32973,no,FALSE,0,29,F
62850,no,FALSE,0,31,M
14912,no,FALSE,0,29,F
20300,no,FALSE,0,33,M
86907,no,FALSE,0,29,M
28546,no,FALSE,0,30,M
88773,no,FALSE,0,30,M
39369,no,FALSE,0,29,F
56842,no,FALSE,0,30,M
68101,no,FALSE,0,29,F
46085,no,FALSE,0,26,F
86722,no,FALSE,0,29,M
92170,no,FALSE,0,30,M
19181,no,FALSE,0,30,M
81847,no,FALSE,0,26,M
98851,no,TRUE,27.11,27,M
92584,no,TRUE,22.71,29,F
66518,no,FALSE,0,27,F
34670,no,FALSE,0,27,M
44133,no,FALSE,0,29,F
57799,no,TRUE,18.05,28,F
35195,no,FALSE,0,32,M
75777,no,FALSE,0,27,M
17070,no,FALSE,0,27,F
50159,no,FALSE,0,26,F
11497,no,FALSE,0,31,M
67336,no,FALSE,0,29,M
70586,no,FALSE,0,31,M
30697,no,FALSE,0,31,F
75614,no,FALSE,0,29,F
19722,no,FALSE,0,31,F
44598,no,TRUE,17.51,31,M
14517,no,TRUE,19.56,31,F
72169,no,FALSE,0,30,M
91881,no,FALSE,0,26,M
14694,no,FALSE,0,33,F
42101,no,FALSE,0,28,M
88888,no,FALSE,0,28,M
91024,no,FALSE,0,29,F
84983,no,FALSE,0,28,M
63288,no,FALSE,0,29,M
26435,no,FALSE,0,33,F
36690,no,FALSE,0,29,F
63704,no,FALSE,0,29,F
52886,no,FALSE,0,30,F
40236,no,TRUE,19.22,27,M
76765,no,FALSE,0,28,M
45555,no,TRUE,15.16,26,F
42075,no,FALSE,0,29,F
36714,no,FALSE,0,29,F
28387,no,FALSE,0,31,F
92525,no,FALSE,0,33,F
33976,no,FALSE,0,31,M
78615,no,FALSE,0,27,F
73480,no,FALSE,0,29,F
41314,no,FALSE,0,29,F
53754,no,FALSE,0,31,M
55554,no,FALSE,0,34,M
67942,no,FALSE,0,30,M
84658,no,TRUE,19.75,28,M
83798,no,FALSE,0,26,F
30399,no,FALSE,0,32,M
14971,no,FALSE,0,31,M
79044,no,FALSE,0,28,M
47491,no,FALSE,0,30,M
16372,no,FALSE,0,30,F
83395,no,FALSE,0,28,M
92755,no,TRUE,18.59,29,M
10601,no,FALSE,0,29,F
84058,no,FALSE,0,30,F
57605,no,FALSE,0,29,M
38576,no,FALSE,0,27,M
17876,no,FALSE,0,30,M
68262,no,FALSE,0,31,F
12776,no,FALSE,0,32,M
40711,no,FALSE,0,30,F
27748,no,FALSE,0,27,M
17487,no,FALSE,0,28,F
86661,no,FALSE,0,31,M
55429,no,FALSE,0,29,M
19738,no,FALSE,0,29,F
71774,no,FALSE,0,33,F
29511,no,FALSE,0,29,F
90142,no,FALSE,0,31,F
59587,no,FALSE,0,31,F
59752,no,FALSE,0,32,F
62291,no,FALSE,0,30,F
48244,no,FALSE,0,27,F
14681,no,FALSE,0,30,M
