"product","Y","date","post","treatment"
"bubbly",42.18,2021-02-01,0,0
"bubbly",32.48,2021-02-02,0,0
"bubbly",30.41,2021-02-03,0,0
"bubbly",23.8,2021-02-04,0,0
"bubbly",33.16,2021-02-05,0,0
"bubbly",36.29,2021-02-06,0,0
"bubbly",48.08,2021-02-07,0,0
"bubbly",43.22,2021-02-08,0,0
"bubbly",37.13,2021-02-09,0,0
"bubbly",39.25,2021-02-10,0,0
"bubbly",36.94,2021-02-11,0,0
"bubbly",33.12,2021-02-12,0,0
"bubbly",33.15,2021-02-13,0,0
"bubbly",47.62,2021-02-14,0,0
"bubbly",42.39,2021-02-15,0,0
"bubbly",32.93,2021-02-16,0,0
"bubbly",30.99,2021-02-17,0,0
"bubbly",29.62,2021-02-18,0,0
"bubbly",29.58,2021-02-19,0,0
"bubbly",32.31,2021-02-20,0,0
"bubbly",43.79,2021-02-21,0,0
"bubbly",37.6,2021-02-22,0,0
"bubbly",31.69,2021-02-23,0,0
"bubbly",36.09,2021-02-24,0,0
"bubbly",37.79,2021-02-25,0,0
"bubbly",34.02,2021-02-26,0,0
"bubbly",34.44,2021-02-27,0,0
"bubbly",47.54,2021-02-28,0,0
"bubbly",43.28,2021-03-01,0,0
"bubbly",32.9,2021-03-02,0,0
"bubbly",32.41,2021-03-03,0,0
"bubbly",27.84,2021-03-04,0,0
"bubbly",30.29,2021-03-05,0,0
"bubbly",32.66,2021-03-06,0,0
"bubbly",40.53,2021-03-07,0,0
"bubbly",35.21,2021-03-08,0,0
"bubbly",29.32,2021-03-09,0,0
"bubbly",28.53,2021-03-10,0,0
"bubbly",35.43,2021-03-11,0,0
"bubbly",37.19,2021-03-12,0,0
"bubbly",36.78,2021-03-13,0,0
"bubbly",46.84,2021-03-14,0,0
"bubbly",41.05,2021-03-15,0,0
"bubbly",34.13,2021-03-16,0,0
"bubbly",29.25,2021-03-17,0,0
"bubbly",28.7,2021-03-18,0,0
"bubbly",31.49,2021-03-19,0,0
"bubbly",29.28,2021-03-20,0,0
"bubbly",42.72,2021-03-21,0,0
"bubbly",38.67,2021-03-22,0,0
"bubbly",31.11,2021-03-23,0,0
"bubbly",30.43,2021-03-24,0,0
"bubbly",35.14,2021-03-25,0,0
"bubbly",35.13,2021-03-26,0,0
"bubbly",40.15,2021-03-27,0,0
"bubbly",47.46,2021-03-28,0,0
"bubbly",41.83,2021-03-29,0,0
"bubbly",34.14,2021-03-30,0,0
"bubbly",37.57,2021-03-31,0,0
"bubbly",32.96,2021-04-01,1,0
"bubbly",35.18,2021-04-02,1,0
"bubbly",34.6,2021-04-03,1,0
"bubbly",44.87,2021-04-04,1,0
"bubbly",40.5,2021-04-05,1,0
"bubbly",29.19,2021-04-06,1,0
"bubbly",30.04,2021-04-07,1,0
"bubbly",30.5,2021-04-08,1,0
"bubbly",31.89,2021-04-09,1,0
"bubbly",39.46,2021-04-10,1,0
"bubbly",47.93,2021-04-11,1,0
"bubbly",37.72,2021-04-12,1,0
"bubbly",35.49,2021-04-13,1,0
"bubbly",33.51,2021-04-14,1,0
"bubbly",34.92,2021-04-15,1,0
"jabalaya_pink",47.14,2021-02-01,0,0
"jabalaya_pink",27.6,2021-02-02,0,0
"jabalaya_pink",27.08,2021-02-03,0,0
"jabalaya_pink",26.84,2021-02-04,0,0
"jabalaya_pink",26.41,2021-02-05,0,0
"jabalaya_pink",32.63,2021-02-06,0,0
"jabalaya_pink",45.28,2021-02-07,0,0
"jabalaya_pink",49.69,2021-02-08,0,0
"jabalaya_pink",33.88,2021-02-09,0,0
"jabalaya_pink",33.78,2021-02-10,0,0
"jabalaya_pink",30.81,2021-02-11,0,0
"jabalaya_pink",32.14,2021-02-12,0,0
"jabalaya_pink",29.62,2021-02-13,0,0
"jabalaya_pink",43,2021-02-14,0,0
"jabalaya_pink",47.52,2021-02-15,0,0
"jabalaya_pink",28.26,2021-02-16,0,0
"jabalaya_pink",25.11,2021-02-17,0,0
"jabalaya_pink",26.48,2021-02-18,0,0
"jabalaya_pink",22.8,2021-02-19,0,0
"jabalaya_pink",28.71,2021-02-20,0,0
"jabalaya_pink",44.74,2021-02-21,0,0
"jabalaya_pink",43.14,2021-02-22,0,0
"jabalaya_pink",29.78,2021-02-23,0,0
"jabalaya_pink",35.38,2021-02-24,0,0
"jabalaya_pink",44.01,2021-02-25,0,0
"jabalaya_pink",32.95,2021-02-26,0,0
"jabalaya_pink",32.9,2021-02-27,0,0
"jabalaya_pink",45.07,2021-02-28,0,0
"jabalaya_pink",47.71,2021-03-01,0,0
"jabalaya_pink",30.74,2021-03-02,0,0
"jabalaya_pink",26.77,2021-03-03,0,0
"jabalaya_pink",25.64,2021-03-04,0,0
"jabalaya_pink",26.63,2021-03-05,0,0
"jabalaya_pink",26.52,2021-03-06,0,0
"jabalaya_pink",39.12,2021-03-07,0,0
"jabalaya_pink",39.48,2021-03-08,0,0
"jabalaya_pink",26.78,2021-03-09,0,0
"jabalaya_pink",26.75,2021-03-10,0,0
"jabalaya_pink",28.65,2021-03-11,0,0
"jabalaya_pink",35.94,2021-03-12,0,0
"jabalaya_pink",30.92,2021-03-13,0,0
"jabalaya_pink",23.71,2021-03-14,0,0
"jabalaya_pink",54.45,2021-03-15,0,0
"jabalaya_pink",28.12,2021-03-16,0,0
